"Mineral Name","Mineral Name (plain)","Mineral Name (HTML)","RRUFF Chemistry (plain)","IMA Chemistry (plain)","RRUFF Chemistry (concise)","IMA Chemistry (concise)","RRUFF Chemistry (HTML)","IMA Chemistry (HTML)","Chemistry Elements","IMA Number","RRUFF IDs","Database ID","Country of Type Locality","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Status Notes","Crystal Systems","Oldest Known Age (Ma)","Valence Elements"
"Aeschynite-(Ce)","Aeschynite-(Ce)","Aeschynite-(Ce)","(Ce3+,Ca,Fe2+,Th4+)(Ti4+,Nb5+)2(O,OH)6","(Ce,Ca,Fe,Th)(Ti,Nb)2(O,OH)6","(Ce^3+^,Ca,Fe^2+^,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_","(Ce,Ca,Fe,Th)(Ti,Nb)_2_(O,OH)_6_","(Ce<sup>3+</sup>,Ca,Fe<sup>2+</sup>,Th<sup>4+</sup>)(Ti<sup>4+</sup>,Nb<sup>5+</sup>)<sub>2</sub>(O,OH)<sub>6</sub>","(Ce,Ca,Fe,Th)(Ti,Nb)<sub>2</sub>(O,OH)<sub>6</sub>","Ce Ca Fe Th Ti Nb O H","IMA1987 s.p.","","793","Russia","1830","Approved|Renamed","Aeschynite","aeschynite","Berzelius J (1830) Mineralogie: Aeschynit, Jahres-Bericht über die Fortschritte der Physischen Wissenschaften 9, 182-209

Name changed from aeschynite:
Nickel E H, Mandarino J A (1987) Procedures involving the IMA Commission on New Minerals and Mineral Names and guidelines on mineral nomenclature, American Mineralogist 72, 1031-1042","orthorhombic","1420","Ce^3+ Ca Fe^2+ Th^4+ Ti^4+ Nb^5+ O H"
"Aeschynite-(Nd)","Aeschynite-(Nd)","Aeschynite-(Nd)","(Nd3+,Ln3+,Ca)(Ti4+,Nb5+)2(O,OH)6","(Nd,Ln,Ca)(Ti,Nb)2(O,OH)6","(Nd^3+^,Ln^3+^,Ca)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_","(Nd,Ln,Ca)(Ti,Nb)_2_(O,OH)_6_","(Nd<sup>3+</sup>,Ln<sup>3+</sup>,Ca)(Ti<sup>4+</sup>,Nb<sup>5+</sup>)<sub>2</sub>(O,OH)<sub>6</sub>","(Nd,Ln,Ca)(Ti,Nb)<sub>2</sub>(O,OH)<sub>6</sub>","Nd Ln Ca Ti Nb O H","","","794","China","1982","Approved","Aeschynite","aeschynite","Zhang P, Tao K (1982) Aeschynite-(Nd), Scientia Geologica Sinica 1982, 424-428","orthorhombic","580","Nd^3+ Ln^3+ Ca Ti^4+ Nb^5+ O H"
"Aeschynite-(Y)","Aeschynite-(Y)","Aeschynite-(Y)","(Y3+,Ca,Th4+)(Ti4+,Nb5+)2(O,OH)6","(Y,Ln,Ca,Th)(Ti,Nb)2(O,OH)6","(Y^3+^,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_","(Y,Ln,Ca,Th)(Ti,Nb)_2_(O,OH)_6_","(Y<sup>3+</sup>,Ca,Th<sup>4+</sup>)(Ti<sup>4+</sup>,Nb<sup>5+</sup>)<sub>2</sub>(O,OH)<sub>6</sub>","(Y,Ln,Ca,Th)(Ti,Nb)<sub>2</sub>(O,OH)<sub>6</sub>","Y Ln Ca Th Ti Nb O H","IMA1987 s.p.","R060312 R080045","795","Norway","1906","Approved|Renamed","Aeschynite","aeschynite","Originally named priorite:
Brøgger W C (1906) Die mineralien der Südnorwegischen granitpegmatitgänge: Blomstrandin (und priorit), Skrifter udgivne af Videnskabs-Selskabet i Christiania 1906(6), 1-162

Name changed to aeschynite-(Y):
Levinson A A (1966) A system of nomenclature for rare-earth minerals, American Mineralogist 51, 152-158","orthorhombic|amorphous","2000","Y^3+ Ca Th^4+ Ti^4+ Nb^5+ O H"
"Afghanite","Afghanite","Afghanite","Na22Ca10(Si24Al24)O96(S6+O4)6Cl6","(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6","Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_","(Na,K)_22_Ca_10_(Si_24_Al_24_)O_96_(SO_4_)_6_Cl_6_","Na<sub>22</sub>Ca<sub>10</sub>(Si<sub>24</sub>Al<sub>24</sub>)O<sub>96</sub>(S<sup>6+</sup>O<sub>4</sub>)<sub>6</sub>Cl<sub>6</sub>","(Na,K)<sub>22</sub>Ca<sub>10</sub>(Si<sub>24</sub>Al<sub>24</sub>)O<sub>96</sub>(SO<sub>4</sub>)<sub>6</sub>Cl<sub>6</sub>","Na K Ca Si Al O S Cl","IMA1967-041","R060422 R070558","796","Afghanistan","1967","Approved","Cancrinite-sodalite","cancrinite-sodalite","Bariand P, Cesbron F, Giraud R (1968) Une nonvelle espece minerale: L’afghanite de Sar–e–Sang, Badakhshan, Afghanistan–Comparaison avec les mineraux du groupe de la cancrinite, Bulletin de la Société Française de Minéralogie et de Cristallographie 91, 34-42

Chemical formula revised:
Ballirano P, Bonaccorsi E, Maras A, Merlino S (1997) Crystal structure of afghanite, the eight-layer member of the cancrinite-group: evidence for long-range Si,Al ordering, European Journal of Mineralogy 9, 21-30","hexagonal","1600","Na Ca Si Al O S^6+ Cl"
"Afmite","Afmite","Afmite","Al3(OH)4(H2O)3(PO4)(PO3OH)·H2O","Al3(OH)4(H2O)3(PO4)(PO3OH)·H2O","Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O","Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O","Al<sub>3</sub>(OH)<sub>4</sub>(H<sub>2</sub>O)<sub>3</sub>(PO<sub>4</sub>)(PO<sub>3</sub>OH)·H<sub>2</sub>O","Al<sub>3</sub>(OH)<sub>4</sub>(H<sub>2</sub>O)<sub>3</sub>(PO<sub>4</sub>)(PO<sub>3</sub>OH)·H<sub>2</sub>O","Al O H P","IMA2005-025a","R130082","5844","France","2005","Approved"," "," ","Kampf A R, Mills S J, Rossman G R, Steele I M, Pluth J J, Favreau G (2011) Afmite, Al<sub>3</sub>(OH)<sub>4</sub>(H<sub>2</sub>O)<sub>3</sub>(PO<sub>4</sub>)(PO<sub>3</sub>OH)·H<sub>2</sub>O, a new mineral from Fumade, Tarn, France: description and crystal structure, European Journal of Mineralogy 23, 269-277","triclinic","975.3","Al O H P"
"Afwillite","Afwillite","Afwillite","Ca3(SiO4)(SiO2(OH)2)·2H2O","Ca3[SiO4][SiO2(OH)2]·2H2O","Ca_3_(SiO_4_)(SiO_2_(OH)_2_)·2H_2_O","Ca_3_[SiO_4_][SiO_2_(OH)_2_]·2H_2_O","Ca<sub>3</sub>(SiO<sub>4</sub>)(SiO<sub>2</sub>(OH)<sub>2</sub>)·2H<sub>2</sub>O","Ca<sub>3</sub>[SiO<sub>4</sub>][SiO<sub>2</sub>(OH)<sub>2</sub>]·2H<sub>2</sub>O","Ca Si O H","","R070296 R080022 R141097","797","South Africa","1925","Grandfathered|Approved","Spurrite-Afwillite"," ","Parry J, Wright F E (1925) Afwillite, a new hydrous calcium silicate, from Dutoitspan mine, Kimberley, South Africa, Mineralogical Magazine 20, 277-285","monoclinic|triclinic","2400","Ca Si O H"
"Agmantinite","Agmantinite","Agmantinite","Ag1+2Mn2+Sn4+S2-4","Ag2MnSnS4","Ag^1+^_2_Mn^2+^Sn^4+^S^2-^_4_","Ag_2_MnSnS_4_","Ag<sup>1+</sup><sub>2</sub>Mn<sup>2+</sup>Sn<sup>4+</sup>S<sup>2-</sup><sub>4</sub>","Ag<sub>2</sub>MnSnS<sub>4</sub>","Ag Mn Sn S","IMA2014-083","","6381","Peru","2014","Approved","Wurtzite"," ","Keutsch F N, Topa D, Fredrickson R T, Makovicky E, Paar W H (2019) Agmantinite, Ag_2_MnSnS_4_, a new mineral with a wurtzite derivative structure from the Uchucchacua polymetallic deposit, Lima Department, Peru. Mineralogical Magazine 83, 233-238","orthorhombic|monoclinic","24.5","Ag^1+ Mn^2+ Sn^4+ S^2-"
"Agrellite","Agrellite","Agrellite","NaCa2Si4O10F","NaCa2Si4O10F","NaCa_2_Si_4_O_10_F","NaCa_2_Si_4_O_10_F","NaCa<sub>2</sub>Si<sub>4</sub>O<sub>10</sub>F","NaCa<sub>2</sub>Si<sub>4</sub>O<sub>10</sub>F","Na Ca Si O F","IMA1973-032","R060914","804","Canada","1973","Approved"," "," ","Gittins J, Bown M G, Sturman D (1976) Agrellite, a new rock-forming mineral in regionally metamorphosed agpaitic alkalic rocks, The Canadian Mineralogist 14, 120-126","triclinic","1240","Na Ca Si O F"
"Aguilarite","Aguilarite","Aguilarite","Ag1+4Se2-S2-","Ag4SeS","Ag^1+^_4_Se^2-^S^2-^","Ag_4_SeS","Ag<sup>1+</sup><sub>4</sub>Se<sup>2-</sup>S<sup>2-</sup>","Ag<sub>4</sub>SeS","Ag Se S","","","806","Mexico","1891","Grandfathered|Approved","Acanthite","eucairite","Genth F A (1891) Aguilarite, a new species, The American Journal of Science Third Series 41, 401-402

Redefined as the Se-rich end-member of the acanthite structure:
Bindi L, Pingitore N E (2013) On the symmetry and crystal structure of aguilarite, Ag4SeS. Mineralogical Magazine 77, 21-31","monoclinic|orthorhombic","2680","Ag^1+ Se^2- S^2-"
"Ahrensite","Ahrensite","Ahrensite","SiFe2+2O4","SiFe2O4","SiFe^2+^_2_O_4_","SiFe_2_O_4_","SiFe<sup>2+</sup><sub>2</sub>O<sub>4</sub>","SiFe<sub>2</sub>O<sub>4</sub>","Si Fe O","IMA2013-028","","6189","Morocco (meteorite)","2013","Approved","Spinel"," ","Ma C, Tschauner O, Beckett J R, Liu Y, Rossman G R, Sinogeikin S V, Smith J S, Taylor L A (2016) Ahrensite, γ-Fe_2_SiO_4_, a new shock-metamorphic mineral from the Tissint meteorite: Implications for the Tissint shock event on Mars. Geochimica et Cosmochimica Acta 184, 240-256

","cubic","","Si Fe^2+ O"
"Aikinite","Aikinite","Aikinite","Cu1+Pb2+Bi3+S2-3","CuPbBiS3","Cu^1+^Pb^2+^Bi^3+^S^2-^_3_","CuPbBiS_3_","Cu<sup>1+</sup>Pb<sup>2+</sup>Bi<sup>3+</sup>S<sup>2-</sup><sub>3</sub>","CuPbBiS<sub>3</sub>","Cu Pb Bi S","","R100117","809","Russia","1843","Grandfathered|Approved","Meneghinite","aikinite","Chapman E J (1843) Aikenite, in Practical Mineralogy, Hippolyte Bailliere, Publisher (London) 127-127","orthorhombic","2710","Cu^1+ Pb^2+ Bi^3+ S^2-"
"Akatoreite","Akatoreite","Akatoreite","Mn2+9Al2Si8O24(OH)8","Mn2+9Al2Si8O24(OH)8","Mn^2+^_9_Al_2_Si_8_O_24_(OH)_8_","Mn^2+^_9_Al_2_Si_8_O_24_(OH)_8_","Mn<sup>2+</sup><sub>9</sub>Al<sub>2</sub>Si<sub>8</sub>O<sub>24</sub>(OH)<sub>8</sub>","Mn<sup>2+</sup><sub>9</sub>Al<sub>2</sub>Si<sub>8</sub>O<sub>24</sub>(OH)<sub>8</sub>","Mn Al Si O H","IMA1969-015","R060230","812","New Zealand","1969","Approved"," "," ","Read P B, Reay A (1971) Akatoreite, a new manganese silicate from eastern Otago, New Zealand, American Mineralogist 56, 416-426

Chemical formula revised:
Burns P C, Hawthorne F C (1993) Edge–sharing Mn<sup>2+</sup>O<sub>4</sub> tetrahedra in the structure of akatoreite, Mn<sup>2+</sup><sub>9</sub>Al<sub>2</sub>Si<sub>8</sub>O<sub>24</sub>(OH)<sub>8</sub>, The Canadian Mineralogist 31, 321-329","triclinic","","Mn^2+ Al Si O H"
"Akdalaite","Akdalaite","Akdalaite","Al10O14(OH)2","Al10O14(OH)2","Al_10_O_14_(OH)_2_","Al_10_O_14_(OH)_2_","Al<sub>10</sub>O<sub>14</sub>(OH)<sub>2</sub>","Al<sub>10</sub>O<sub>14</sub>(OH)<sub>2</sub>","Al O H","IMA1969-002","","813","Kazakhstan","1969","Approved","Nolanite"," ","Shpanov E P, Sidorenko G A, Stolyarova T I (1970) Akdalaite, a new hydrous modification of alumina, Zapiski Vserossijskogo Mineralogicheskogo Obshchestva 99, 333-339

Chemical formula revised from (Al_2_O_3_)_5_·H_2_O:
Parise J B, Xia B, Simonson J W, Woerner W R, Plonka A M, Phillips B L, Ehm L (2019) Structural chemistry of akdalaite, Al_10_O_14_(OH)_2_, the isostructural aluminum analogue of ferrihydrite. Crystals 9, 246","hexagonal|orthorhombic","623.3","Al O H"
"Åkermanite","Akermanite","&#197;kermanite","Ca2MgSi2O7","Ca2MgSi2O7","Ca_2_MgSi_2_O_7_","Ca_2_MgSi_2_O_7_","Ca<sub>2</sub>MgSi<sub>2</sub>O<sub>7</sub>","Ca<sub>2</sub>MgSi<sub>2</sub>O<sub>7</sub>","Ca Mg Si O","","R061085 R061100","814","Sweden","1884","Grandfathered|Approved","Melilite","melilite","Vogt I H L (1890) Die mineralien der melilithgruppe - nämlich gehlenit, melilith und ein neues tetragonales, nicht Al<sub>2</sub>O<sub>3</sub>-führendes (Ca,Mg)O-silikat (Åkermanit), nebst zwischengliedern, Archiv for Mathematik og Naturvidenskab 13, 310-402","tetragonal","4330","Ca Mg Si O"
"Akimotoite","Akimotoite","Akimotoite","MgSiO3","MgSiO3","MgSiO_3_","MgSiO_3_","MgSiO<sub>3</sub>","MgSiO<sub>3</sub>","Mg Si O","IMA1997-044","","816","Australia (meteorite)","1997","Approved","Corundum"," ","Tomioka N, Fujino K (1999) Akimotoite, (Mg,Fe)SiO<sub>3</sub>, a new silicate mineral of the ilmenite group in the Tenham chondrite, American Mineralogist 84, 267-271","hexagonal","","Mg Si O"
"Aksaite","Aksaite","Aksaite","MgB6O7(OH)6·2H2O","MgB6O7(OH)6·2H2O","MgB_6_O_7_(OH)_6_·2H_2_O","MgB_6_O_7_(OH)_6_·2H_2_O","MgB<sub>6</sub>O<sub>7</sub>(OH)<sub>6</sub>·2H<sub>2</sub>O","MgB<sub>6</sub>O<sub>7</sub>(OH)<sub>6</sub>·2H<sub>2</sub>O","Mg B O H","","","818","Kazakhstan","1962","Approved"," "," ","Blazko L N, Kondrat’eva V V, Yarzhemskii Y Y (1962) Aksaite, a new hydrous magnesium borate, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 91, 447-454","orthorhombic","354","Mg B O H"
"Aktashite","Aktashite","Aktashite","Cu1+6Hg2+3As3+4S2-12","Cu6Hg3As4S12","Cu^1+^_6_Hg^2+^_3_As^3+^_4_S^2-^_12_","Cu_6_Hg_3_As_4_S_12_","Cu<sup>1+</sup><sub>6</sub>Hg<sup>2+</sup><sub>3</sub>As<sup>3+</sup><sub>4</sub>S<sup>2-</sup><sub>12</sub>","Cu<sub>6</sub>Hg<sub>3</sub>As<sub>4</sub>S<sub>12</sub>","Cu Hg As S","","","819","Russia","1968","Approved|Redefined","Nowackiite","nowackiite","Vasil'ev V I (1968) New ore minerals of the mercury deposits of Gornyi Altai and their parageneses. In: Problems of the metallogeny of mercury. Izdatelstvo ""Nauka"" Moskva 1968, 111-129","hexagonal","2638","Cu^1+ Hg^2+ As^3+ S^2-"
"Alabandite","Alabandite","Alabandite","Mn2+S2-","MnS","Mn^2+^S^2-^","MnS","Mn<sup>2+</sup>S<sup>2-</sup>","MnS","Mn S","","R070174","820","Romania / Turkey","1822","Grandfathered|Approved","Rocksalt","galena","Called alabandina sulfurea by Don Andres Manuel del Rio as reported in:
Haüy R J (1822) Manganèse sulfuré, Traité de Minéralogie 4, 268-272

Renamed alabandine:
Beudant F S (1832) Alabandine, in Traité Élémentaire de Minéralogie, 2nd Edition, (Paris) 399-400","cubic","4620","Mn^2+ S^2-"
"Alacránite","Alacranite","Alacr&#225;nite","As8S9","As8S9","As_8_S_9_","As_8_S_9_","As<sub>8</sub>S<sub>9</sub>","As<sub>8</sub>S<sub>9</sub>","As S","IMA1985-033","R140323 R150030","821","Russia","1985","Approved|Renamed"," "," ","Popova V I, Popov V A, Clark A H, Polyakov V O, Borisovskii S E (1986) Alacránite, As<sub>8</sub>S<sub>9</sub> – a new mineral, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 115(3), 360-368

Chemical formula changed:
Burns P C, Percival J B (2001) Alacranite, As<sub>4</sub>S<sub>4</sub>: a new occurrence, new formula, and determination of the crystal structure, The Canadian Mineralogist 39, 809-818

Chemical formula changed again:
Bonazzi P, Bindi L, Popova V, Pratesi G, Menchetti S (2003) Alacranite, As<sub>8</sub>S<sub>9</sub>: structural study of the holotype and re-assignment of the original chemical formula, American Mineralogist 88, 1796-1800","monoclinic","443","As S"
"Alarsite","Alarsite","Alarsite","AlAs5+O4","Al(AsO4)","AlAs^5+^O_4_","Al(AsO_4_)","AlAs<sup>5+</sup>O<sub>4</sub>","Al(AsO<sub>4</sub>)","Al As O","IMA1993-003","","823","Russia","1993","Approved","Quartz","berlinite","Semenova T F, Vergasova L P, Filatov S K, Ananev V V (1994) Alarsite AlAsO<sub>4</sub>: A new mineral from volcanic exhalations, Doklady Akademii Nauk 338(4), 501-505","hexagonal","3.6E-5","Al As^5+ O"
"Albite","Albite","Albite","NaAlSi3O8","Na(AlSi3O8)","NaAlSi_3_O_8_","Na(AlSi_3_O_8_)","NaAlSi<sub>3</sub>O<sub>8</sub>","Na(AlSi<sub>3</sub>O<sub>8</sub>)","Na Al Si O","","R040068 R040129 R050253 R050402 R060054 R070268 R100169","824","Sweden","1815","Grandfathered|Approved","Feldspar","feldspar","Gahn J G, Berzelius J (1815) Underfökning af nagra i grannskapet af Fahlun funna Fossilier, Afhandlingar i Fysik, Kemi och Mineralogi 4, 148-216 (see page 180)","triclinic","4620","Na Al Si O"
