Mineral Name,Mineral Name (plain),Mineral Name (HTML),RRUFF Chemistry (plain),IMA Chemistry (plain),RRUFF Chemistry (concise),IMA Chemistry (concise),RRUFF Chemistry (HTML),IMA Chemistry (HTML),Chemistry Elements,IMA Number,RRUFF IDs,Database ID,Country of Type Locality,Year First Published,IMA Status,Structural Groupname,Fleischers Groupname,Status Notes,Crystal Systems,Oldest Known Age (Ma),Valence Elements
Andalusite,Andalusite,Andalusite,Al2SiO5,Al2SiO5,Al_2_SiO_5_,Al_2_SiO_5_,Al<sub>2</sub>SiO<sub>5</sub>,Al<sub>2</sub>SiO<sub>5</sub>,Al Si O,,R050258 R050449 R050561 R050626 R060197 R060212,882,Spain,1798,Grandfathered|Approved,Andalusite,andalusite,"Delamétherie J C (1798) Sur une pierre de l'andalousie, Journal de Physique, de Chimie et d'Histoire Naturelle et des Arts 46, 386-387",orthorhombic,4000.0,Al Si O
Andradite,Andradite,Andradite,Ca3Fe3+2(SiO4)3,Ca3Fe3+2(SiO4)3,Ca_3_Fe^3+^_2_(SiO_4_)_3_,Ca_3_Fe^3+^_2_(SiO_4_)_3_,Ca<sub>3</sub>Fe<sup>3+</sup><sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>,Ca<sub>3</sub>Fe<sup>3+</sup><sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>,Ca Fe Si O,,R040001 R050256 R050311 R050377 R060358 R060350 R060326 R060423 R060449 R070722 R100049 R100138 R120004,885,Norway,1868,Grandfathered|Approved,Garnet,garnet,"Dana J D, Brush G J (1868) E. Lime-Irongarnet; Andradite, in A System of Mineralogy, Fifth Edition, John Wiley and Sons (New York) 268-270",cubic|triclinic,4568.5,Ca Fe^3+ Si O
Anglesite,Anglesite,Anglesite,Pb2+S6+O4,Pb(SO4),Pb^2+^S^6+^O_4_,Pb(SO_4_),Pb<sup>2+</sup>S<sup>6+</sup>O<sub>4</sub>,Pb(SO<sub>4</sub>),Pb S O,,R040004 R050052 R050408,891,United Kingdom,1832,Grandfathered|Approved,Baryte,celestine,"Beudant F S (1832) Anglesite, plomb sulfaté, in Traité Élémentaire de Minéralogie, 2nd Edition, (Paris) 459-460",orthorhombic,4000.0,Pb^2+ S^6+ O
Ankerite,Ankerite,Ankerite,CaFe2+(CO3)2,"Ca(Fe2+,Mg)(CO3)2",CaFe^2+^(CO_3_)_2_,"Ca(Fe^2+^,Mg)(CO_3_)_2_",CaFe<sup>2+</sup>(CO<sub>3</sub>)<sub>2</sub>,"Ca(Fe<sup>2+</sup>,Mg)(CO<sub>3</sub>)<sub>2</sub>",Ca Fe Mg C O,,R050181 R050197,895,Austria,1825,Grandfathered|Approved,Dolomite,dolomite,"Mineral is named:
Mohs F (1825) Characters of the genera and species of the orders of class II. I. Order. Haloide. V. Lime-haloide. 4. Paratomous. Ankerite, in Treatise on Mineralogy Vol I, translated by Haidinger, Archibald and Co. (Edinburgh) 411-411

Mineral is described:
Mohs F (1825) Paratomous lime-haloide, in Treatise on Mineralogy Vol II, translated by Haidinger, Archibald and Co. (Edinburgh) 100-101",hexagonal,4000.0,Ca Fe^2+ C O
Anorthite,Anorthite,Anorthite,CaAl2Si2O8,Ca(Al2Si2O8),CaAl_2_Si_2_O_8_,Ca(Al_2_Si_2_O_8_),CaAl<sub>2</sub>Si<sub>2</sub>O<sub>8</sub>,Ca(Al<sub>2</sub>Si<sub>2</sub>O<sub>8</sub>),Ca Al Si O,,R040059 R050104 R060082 R060193 R060221 R060275 R070510 R070598 R100170 R130296 R190029,898,Italy,1823,Grandfathered|Approved,Feldspar,feldspar,"Rose G (1823) Ueber den Feldspath, Albit, Labrador und Anorthit, Annalen der Physik und der Physikalischen Chemie 73, 173-208",triclinic|unknown,4700.0,Ca Al Si O
Anthophyllite,Anthophyllite,Anthophyllite,[box]Mg2Mg5Si8O22(OH)2,[box]Mg2Mg5Si8O22(OH)2,[box]Mg_2_Mg_5_Si_8_O_22_(OH)_2_,[box]Mg_2_Mg_5_Si_8_O_22_(OH)_2_,"<span style=""border: 1px solid #333; font-size:7px;"">   </span>Mg<sub>2</sub>Mg<sub>5</sub>Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","<span style=""border: 1px solid #333; font-size:7px;"">   </span>Mg<sub>2</sub>Mg<sub>5</sub>Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>",Mg Si O H,,R070245,903,Norway,1801,Approved|Redefined,Amphibole,amphibole-group 1 Mg-Fe-Mn-Li,"Schumacher C F (1801) Anthophyllit, in Versuch eines Verzeichnisses der in den Dänisch-Nordischen Staaten sich findenden einfachen Mineralien, Brummer (Kopenhagen) 96-96",orthorhombic,4000.0,Mg Si O H
Antigorite,Antigorite,Antigorite,Mg3Si2O5(OH)4,Mg3Si2O5(OH)4,Mg_3_Si_2_O_5_(OH)_4_,Mg_3_Si_2_O_5_(OH)_4_,Mg<sub>3</sub>Si<sub>2</sub>O<sub>5</sub>(OH)<sub>4</sub>,Mg<sub>3</sub>Si<sub>2</sub>O<sub>5</sub>(OH)<sub>4</sub>,Mg Si O H,,R070228,904,Italy / Switzerland,1840,Approved|Redefined,Clay,kaolinite-serpentine-kaolinite subgroup,"Schweizer E (1840) Ueber den antigorit, ein neues mineral, Annalen der Physik und Chemie 19, 595-599",monoclinic,4700.0,Mg Si O H
Antlerite,Antlerite,Antlerite,Cu2+3(S6+O4)(OH)4,Cu2+3(SO4)(OH)4,Cu^2+^_3_(S^6+^O_4_)(OH)_4_,Cu^2+^_3_(SO_4_)(OH)_4_,Cu<sup>2+</sup><sub>3</sub>(S<sup>6+</sup>O<sub>4</sub>)(OH)<sub>4</sub>,Cu<sup>2+</sup><sub>3</sub>(SO<sub>4</sub>)(OH)<sub>4</sub>,Cu S O H,,R050212 R110045,908,USA,1889,Approved, , ,"Hillebrand W F (1889) Mineralogical Notes. 6. A basic cupric sulphate, Bulletin of the United States Geological Survey 55, 48-55",orthorhombic,4000.0,Cu^2+ S^6+ O H
Aragonite,Aragonite,Aragonite,CaCO3,Ca(CO3),CaCO_3_,Ca(CO_3_),CaCO<sub>3</sub>,Ca(CO<sub>3</sub>),Ca C O,,R040078 R060195 R080142 R150021,916,Spain,1788,Grandfathered|Approved,Aragonite,aragonite,"Mineral known earlier, but named arragonischer apatit by Werner:
Werner A G (1788) Geschichte, Karakteristik, und kurze chemische Untersuchung des Apatits. IV. Kurze Nachricht von den sogenannten arragonischen Apatiten, Bergmannisches Journal 1, 76-96

Renamed arragonite:
Hauy C (1791) Sur l'arragonite de Werner, Bulletin des Science, par la Société Philomathique 2, 67-68",orthorhombic,4700.0,Ca C O
Armalcolite,Armalcolite,Armalcolite,"(Mg,Fe2+)Ti4+2O5","(Mg,Fe2+)Ti2O5","(Mg,Fe^2+^)Ti^4+^_2_O_5_","(Mg,Fe^2+^)Ti_2_O_5_","(Mg,Fe<sup>2+</sup>)Ti<sup>4+</sup><sub>2</sub>O<sub>5</sub>","(Mg,Fe<sup>2+</sup>)Ti<sub>2</sub>O<sub>5</sub>",Mg Fe Ti O,IMA1970-006,R070260 R110187 R110188,936,Moon,1970,Approved|Redefined,Pseudobrookite, ,"Anderson A T, Bunch T E, Cameron E N, Haggerty S E, Boyd F R, Finger L W, James O B, Keil K, Prinz M, Ramdohr P, El Goresy A (1970) Armalcolite: a new mineral from the Apollo 11 samples, Geochimica et Cosmochimica Acta Supplement, Proceedings of the Apollo 11 Lunar Science Conference 1, 55-63",orthorhombic,4567.61,Mg Fe^2+ Ti^4+ O
Arsenopyrite,Arsenopyrite,Arsenopyrite,Fe3+(AsS)3-,FeAsS,Fe^3+^(AsS)^3-^,FeAsS,Fe<sup>3+</sup>(AsS)<sup>3-</sup>,FeAsS,Fe As S,,R050071 R061082 R070585,955,?,1847,Approved,Arsenopyrite,arsenopyrite,"The mineral was known before this publication, but under other names, such as mispickel:
Glocker E F (1847) Ordo VI. Pyritae. Pyrite. III. Pyritae arsenopyritoidei. 10. Arsenopyrites., in Generum et Specierum Mineralium, Secundum Ordines Naturales Digestorum Synopsis, Apud Eduardum Anton 34-43",monoclinic|triclinic,4000.0,Fe^3+ As S
Augite,Augite,Augite,"(Ca,Mg,Fe2+,Fe3+)2(Si,Al)2O6","(Ca,Mg,Fe)2Si2O6","(Ca,Mg,Fe^2+^,Fe^3+^)_2_(Si,Al)_2_O_6_","(Ca,Mg,Fe)_2_Si_2_O_6_","(Ca,Mg,Fe<sup>2+</sup>,Fe<sup>3+</sup>)<sub>2</sub>(Si,Al)<sub>2</sub>O<sub>6</sub>","(Ca,Mg,Fe)<sub>2</sub>Si<sub>2</sub>O<sub>6</sub>",Ca Mg Fe Si O,,R061086 R061108 R070231 R110063 R190030,987,?,1685,Approved,Pyroxene,pyroxene,"Pliny [translated by Hardouin, 1685] (77) Augites, in Caii Plinii secundi Naturalis historiae libri XXXVII interpretatione et notis illustravit Joannes Harduinus in usum Delphini, Franciscum Muguet (Paris) 406-406

The name was used to describe several different species until this paper:
Werner A G (1792) Geognostische Beobachtungen, auf einer Reife durch einen Theil des böhmischen Mittelgebirges, Bergmannisches Journal 1, 215-266",monoclinic,4700.0,Ca Mg Fe^2+ Fe^3+ Si Al O
Aurostibite,Aurostibite,Aurostibite,AuSb2,AuSb2,AuSb_2_,AuSb_2_,AuSb<sub>2</sub>,AuSb<sub>2</sub>,Au Sb,,R060923,991,Canada,1952,Grandfathered|Approved,Pyrite,pyrite,"Graham A R, Kaiman S (1952) Aurostibite, AuSb<sub>2</sub>; a new mineral in the pyrite group, American Mineralogist 37, 461-469",cubic,4000.0,Au Sb
Awaruite,Awaruite,Awaruite,Ni3Fe,Ni3Fe,Ni_3_Fe,Ni_3_Fe,Ni<sub>3</sub>Fe,Ni<sub>3</sub>Fe,Ni Fe,,R061020 R070671,997,New Zealand,1885,Grandfathered|Approved,Auricupride, ,"Skey W (1885) On a new mineral (awaruite) from Barn Bay, Transactions and Proceedings of the New Zealand Institute 18, 401-402",cubic,4620.0,Ni Fe
Azurite,Azurite,Azurite,Cu2+3(CO3)2(OH)2,Cu3(CO3)2(OH)2,Cu^2+^_3_(CO_3_)_2_(OH)_2_,Cu_3_(CO_3_)_2_(OH)_2_,Cu<sup>2+</sup><sub>3</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>2</sub>,Cu<sub>3</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>2</sub>,Cu C O H,,R050497 R050638,999,France,1824,Grandfathered|Approved, , ,"The name was used on several different minerals prior to this publication:
Beudant F S (1832) Azurite, in Traité Élémentaire de Minéralogie, 2nd Edition, (Paris) 373-374",monoclinic,4000.0,Cu^2+ C O H
Baddeleyite,Baddeleyite,Baddeleyite,Zr4+O2,ZrO2,Zr^4+^O_2_,ZrO_2_,Zr<sup>4+</sup>O<sub>2</sub>,ZrO<sub>2</sub>,Zr O,,R060016 R060078 R100171,1003,Sri Lanka,1893,Grandfathered|Approved,Baddeleyite, ,"Fletcher L (1893) On baddeleyite (native zirconia), a new mineral, from Rakawana, Ceylon, Mineralogical Magazine 10, 148-160",monoclinic|orthorhombic,4567.61,Zr^4+ O
Barringerite,Barringerite,Barringerite,Fe2P,"(Fe,Ni)2P",Fe_2_P,"(Fe,Ni)_2_P",Fe<sub>2</sub>P,"(Fe,Ni)<sub>2</sub>P",Fe Ni P,IMA1968-037,R070439,1039,Bolivia,1968,Approved,Barringerite, ,"Buseck P R (1969) Phosphide from meteorites: Barringerite, a new iron-nickel mineral, Science 165, 169-171",hexagonal,4620.0,Fe P
Baryte,Baryte,Baryte,BaS6+O4,Ba(SO4),BaS^6+^O_4_,Ba(SO_4_),BaS<sup>6+</sup>O<sub>4</sub>,Ba(SO<sub>4</sub>),Ba S O,,R040036 R050342 R050335 R050375,1033,?,1778,Approved,Baryte,celestine,"Bras-de-Fer L (1778) (84) Terre (Élément), in Explication Morale du Jeu de Cartes; Anecdote Curieuse et Interessante, (Bruxelles) 99-100

Spelling of name is formally defined:
International Mineralogical Association (1971) International Mineralogical Association: Commission on new minerals and mineral names, Mineralogical Magazine 38, 102-105",orthorhombic,4567.61,Ba S^6+ O
Beaverite-(Cu),Beaverite-(Cu),Beaverite-(Cu),Pb2+Cu2+Fe3+2(S6+O4)2(OH)6,Pb(Fe3+2Cu)(SO4)2(OH)6,Pb^2+^Cu^2+^Fe^3+^_2_(S^6+^O_4_)_2_(OH)_6_,Pb(Fe^3+^_2_Cu)(SO_4_)_2_(OH)_6_,Pb<sup>2+</sup>Cu<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>(S<sup>6+</sup>O<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>,Pb(Fe<sup>3+</sup><sub>2</sub>Cu)(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>,Pb Fe Cu S O H,IMA2007-D,R060400,1071,USA,1911,Approved|Redefined,Alunite-Alunite,alunite-jarosite-jarosite subgroup,"Butler B S, Schaller W T (1911) Beaverite, a new mineral, Journal of the Washington Academy of Sciences 1, 26-27

Name changed from beaverite:
Bayliss P, Kolitsch U, Nickel E H, Pring A (2010) Alunite supergroup: recommended nomenclature, Mineralogical Magazine 74, 919-927",hexagonal,4000.0,Pb^2+ Cu^2+ Fe^3+ S^6+ O H
Beckettite,Beckettite,Beckettite,Ca2V3+6Al6O20,Ca2V6Al6O20,Ca_2_V^3+^_6_Al_6_O_20_,Ca_2_V_6_Al_6_O_20_,Ca<sub>2</sub>V<sup>3+</sup><sub>6</sub>Al<sub>6</sub>O<sub>20</sub>,Ca<sub>2</sub>V<sub>6</sub>Al<sub>6</sub>O<sub>20</sub>,Ca V Al O,IMA2015-001,,6407,Mexico (meteorite),2015,Approved,Sapphirine, ,"Ma C, Paque J, Tschauner O (2016) Discovery of beckettite, Ca_2_V_6_Al_6_O_20_, a new alteration mineral in a V-rich Ca-Al-rich inclusion from Allende. Lunar and Planetary Science 47, 1704-1704

",triclinic,4567.61,Ca V^3+ Al O
Berthierite,Berthierite,Berthierite,Fe2+Sb3+2S2-4,FeSb2S4,Fe^2+^Sb^3+^_2_S^2-^_4_,FeSb_2_S_4_,Fe<sup>2+</sup>Sb<sup>3+</sup><sub>2</sub>S<sup>2-</sup><sub>4</sub>,FeSb<sub>2</sub>S<sub>4</sub>,Fe Sb S,,R070177,1107,France,1827,Grandfathered|Approved,Berthierite,berthierite,"Haidinger W (1827) On berthierite, a new mineral species, The Edinburgh Journal of Science 7, 353-354",orthorhombic,4000.0,Fe^2+ Sb^3+ S^2-
Bismuth,Bismuth,Bismuth,Bi,Bi,Bi,Bi,Bi,Bi,Bi,,R050650 R070375,1140,Germany,1530,Grandfathered|Approved,Arsenic,arsenic,"Agricola G (1530) Bisemutum, in Bermannvs Sive De Re Metallica, Froben (Basileae) 75-76",hexagonal|rhombohedral,4000.0,Bi
Bismuthinite,Bismuthinite,Bismuthinite,Bi3+2S2-3,Bi2S3,Bi^3+^_2_S^2-^_3_,Bi_2_S_3_,Bi<sup>3+</sup><sub>2</sub>S<sup>2-</sup><sub>3</sub>,Bi<sub>2</sub>S<sub>3</sub>,Bi S,,R061077 R070533 R070617,1141,?,1832,Grandfathered|Approved,Stibnite,stibnite,"Beudant F S (1832) Sulfures de bismuth. Bismuthine, in Traité Élémentaire de Minéralogie, 2nd Edition, (Paris) 418-421",orthorhombic,4000.0,Bi^3+ S^2-
Bornite,Bornite,Bornite,Cu1+5Fe3+S2-4,Cu5FeS4,Cu^1+^_5_Fe^3+^S^2-^_4_,Cu_5_FeS_4_,Cu<sup>1+</sup><sub>5</sub>Fe<sup>3+</sup>S<sup>2-</sup><sub>4</sub>,Cu<sub>5</sub>FeS<sub>4</sub>,Cu Fe S,IMA1962-s.p.,R050322 R070636,1183,?,1845,Approved, , ,"Haidinger W (1845) Zweite Klasse: Geogenide. XIII. Ordnung. Kiese. V. Kupperkies. Bornit., in Handbuch der Bestimmenden Mineralogie, Bei Braumüller and Seidel (Wien) 559-562","cubic|orthorhombic, hexagonal",4000.0,Cu^1+ Fe^3+ S^2-
Bournonite,Bournonite,Bournonite,Cu1+Pb2+Sb3+S2-3,CuPbSbS3,Cu^1+^Pb^2+^Sb^3+^S^2-^_3_,CuPbSbS_3_,Cu<sup>1+</sup>Pb<sup>2+</sup>Sb<sup>3+</sup>S<sup>2-</sup><sub>3</sub>,CuPbSbS<sub>3</sub>,Cu Pb Sb S,,R050111 R050364,1193,United Kingdom,1805,Grandfathered|Approved,Bournonite,bournonite,"Jameson R (1805) Bournonite, System of Mineralogy II, Bell and Bradfute (Edinburgh, U.K.) 579-582",orthorhombic,4000.0,Cu^1+ Pb^2+ Sb^3+ S^2-
Breithauptite,Breithauptite,Breithauptite,NiSb,NiSb,NiSb,NiSb,NiSb,NiSb,Ni Sb,,R060928,1212,Germany,1845,Grandfathered|Approved,Nickeline,nickeline,"Originally named antimonnickel:
Stromeyer F, Hausmann J F L (1833) Unter der Aufsicht der Gesellschaft der Wissenschaften. Göttingische Gelehrte Anzeigen 201, 2001-2008

Renamed breithauptite:
Haidinger W (1845) Zweite Klasse: Geogenide. XIII. Ordnung. Kiese. I. Nickelkies. Breithauptit., in Handbuch der Bestimmenden Mineralogie, Bei Braumüller and Seidel (Wien) 559-562",hexagonal,4000.0,Ni Sb
Brochantite,Brochantite,Brochantite,Cu2+4S6+O4(OH)6,Cu4(SO4)(OH)6,Cu^2+^_4_S^6+^O_4_(OH)_6_,Cu_4_(SO_4_)(OH)_6_,Cu<sup>2+</sup><sub>4</sub>S<sup>6+</sup>O<sub>4</sub>(OH)<sub>6</sub>,Cu<sub>4</sub>(SO<sub>4</sub>)(OH)<sub>6</sub>,Cu S O H,,R060117 R060133 R100199,1228,Russia,1824,Approved,Brochantite, ,"Levy A (1824) On a new mineral substance, The Annals of Philosophy 8, 241-245",monoclinic,4000.0,Cu^2+ S^6+ O H
Burnettite,Burnettite,Burnettite,CaV3+AlSiO6,CaVAlSiO6,CaV^3+^AlSiO_6_,CaVAlSiO_6_,CaV<sup>3+</sup>AlSiO<sub>6</sub>,CaVAlSiO<sub>6</sub>,Ca V Al Si O,IMA2013-054,,6217,Mexico (meteorite),2013,Approved,Pyroxene, ,"Ma C, Beckett J R (2016) Burnettite, CaVAlSiO_6_, and paqueite, Ca_3_TiSi_2_(Al_2_Ti)O_14_, two new minerals from Allende: Clues to the evolution of a V-rich Ca-Al-rich inclusion. Lunar and Planetary Science 47, 1595-1595",monoclinic,4567.61,Ca V^3+ Al Si O
Bushmakinite,Bushmakinite,Bushmakinite,Pb2+2Al(P5+O4)(V5+O4)(OH),Pb2Al(PO4)(VO4)(OH),Pb^2+^_2_Al(P^5+^O_4_)(V^5+^O_4_)(OH),Pb_2_Al(PO_4_)(VO_4_)(OH),Pb<sup>2+</sup><sub>2</sub>Al(P<sup>5+</sup>O<sub>4</sub>)(V<sup>5+</sup>O<sub>4</sub>)(OH),Pb<sub>2</sub>Al(PO<sub>4</sub>)(VO<sub>4</sub>)(OH),Pb Al P O V H,IMA2001-031,,1258,Russia,2001,Approved,Brackebuschite,brackebuschite,"Pekov I V, Kleimenov D A, Chukanov N V, Yakubovich O V, Massa W, Belakovskiy D I, Pautov L A (2002) Bushmakinite Pb<sub>2</sub>Al(PO<sub>4</sub>)(VO<sub>4</sub>)(OH), a new mineral of the brackebuschite group from oxidized zone of berezovskoye gold deposit, the Middle Urals, Zapiski Vserossijskogo Mineralogicheskogo Obshchestva 131(2), 62-71",monoclinic,4000.0,Pb^2+ Al P^5+ O V^5+ H
