"Mineral Name","Mineral Name (plain)","Mineral Name (HTML)","RRUFF Chemistry (plain)","IMA Chemistry (plain)","RRUFF Chemistry (concise)","IMA Chemistry (concise)","RRUFF Chemistry (HTML)","IMA Chemistry (HTML)","Chemistry Elements","IMA Number","RRUFF IDs","Database ID","Country of Type Locality","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Status Notes","Crystal Systems","Oldest Known Age (Ma)","Valence Elements"
"Actinolite","Actinolite","Actinolite","Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2","[box]Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2","Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_","[box]Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_","Ca<sub>2</sub>(Mg<sub>4.5-2.5</sub>Fe<sup>2+</sup><sub>0.5-2.5</sub>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","<span style=""border: 1px solid #333; font-size:7px;"">   </span>Ca<sub>2</sub>(Mg<sub>4.5-2.5</sub>Fe<sup>2+</sup><sub>0.5-2.5</sub>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","Ca Mg Fe Si O H","","R040063 R040064 R050025 R050336 R060045 R060041 R120010","784","Germany / Austria","1794","Approved|Redefined","Amphibole","amphibole-group 2 Ca","Originally named actynolite:
Kirwan R (1794) 16th species: actynolite, in Elements of Mineralogy, 2nd Edition, Volume 1, Elmsly (London) 167-170","monoclinic","4000","Ca Mg Fe^2+ Si O H"
"Acuminite","Acuminite","Acuminite","SrAlF4(OH)·H2O","SrAlF4(OH)·H2O","SrAlF_4_(OH)·H_2_O","SrAlF_4_(OH)·H_2_O","SrAlF<sub>4</sub>(OH)·H<sub>2</sub>O","SrAlF<sub>4</sub>(OH)·H<sub>2</sub>O","Sr Al F O H","IMA1986-038","","785","Denmark (Greenland)","1986","Approved","Tikhonenkovite"," ","Pauly H, Petersen O V (1987) Acuminite, a new Sr-fluoride from Ivigtut, South Greenland, Neues Jahrbuch für Mineralogie, Monatshefte 1987, 502-514","monoclinic","1275","Sr Al F O H"
"Adachiite","Adachiite","Adachiite","CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH)","CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH)","CaFe^2+^_3_Al_6_(Si_5_AlO_18_)(BO_3_)_3_(OH)_3_(OH)","CaFe^2+^_3_Al_6_(Si_5_AlO_18_)(BO_3_)_3_(OH)_3_(OH)","CaFe<sup>2+</sup><sub>3</sub>Al<sub>6</sub>(Si<sub>5</sub>AlO<sub>18</sub>)(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>(OH)","CaFe<sup>2+</sup><sub>3</sub>Al<sub>6</sub>(Si<sub>5</sub>AlO<sub>18</sub>)(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>(OH)","Ca Fe Al Si O B H","IMA2012-101","","6164","Japan","2012","Approved","Tourmaline"," ","Nishio-Hamane D, Minakawa T, Yamaura J, Oyama T, Ohnishi M, Shimobayashi N (2014) Adachiite, a Si-poor member of the tourmaline supergroup from the Kiura mine, Oita Prefecture, Japan. Journal of Mineralogical and Petrological Sciences 109, 74-78","hexagonal","","Ca Fe^2+ Al Si O B H"
"Adamsite-(Y)","Adamsite-(Y)","Adamsite-(Y)","NaY3+(CO3)2·6H2O","NaY(CO3)2·6H2O","NaY^3+^(CO_3_)_2_·6H_2_O","NaY(CO_3_)_2_·6H_2_O","NaY<sup>3+</sup>(CO<sub>3</sub>)<sub>2</sub>·6H<sub>2</sub>O","NaY(CO<sub>3</sub>)<sub>2</sub>·6H<sub>2</sub>O","Na Y C O H","IMA1999-020","R070360","787","Canada","1999","Approved"," "," ","Grice J D, Gault R A, Roberts A C, Cooper M A (2000) Adamsite-(Y), a new sodium-yttrium carbonate mineral species from Mont Saint-Hilaire, Quebec, The Canadian Mineralogist 38, 1457-1466","triclinic","1742","Na Y^3+ C O H"
"Adanite","Adanite","Adanite","Pb2+2(Te4+O3)(S6+O4)","Pb2(Te4+O3)(SO4)","Pb^2+^_2_(Te^4+^O_3_)(S^6+^O_4_)","Pb_2_(Te^4+^O_3_)(SO_4_)","Pb<sup>2+</sup><sub>2</sub>(Te<sup>4+</sup>O<sub>3</sub>)(S<sup>6+</sup>O<sub>4</sub>)","Pb<sub>2</sub>(Te<sup>4+</sup>O<sub>3</sub>)(SO<sub>4</sub>)","Pb Te O S","IMA2019-088","R190033","6938","USA","2019","Approved"," "," ","Kampf A R, Housley R M, Rossman G R, Yang H, Downs R T (2020) Adanite, a new lead-tellurite-sulfate mineral from the North Star mine, Tintic, Utah, and Tombstone, Arizona, USA. The Canadian Mineralogist 58, 403-410","monoclinic","","Pb^2+ Te^4+ O S^6+"
"Addibischoffite","Addibischoffite","Addibischoffite","Ca2Al6Al6O20","Ca2Al6Al6O20","Ca_2_Al_6_Al_6_O_20_","Ca_2_Al_6_Al_6_O_20_","Ca<sub>2</sub>Al<sub>6</sub>Al<sub>6</sub>O<sub>20</sub>","Ca<sub>2</sub>Al<sub>6</sub>Al<sub>6</sub>O<sub>20</sub>","Ca Al O","IMA2015-006","","6412","Algeria (meteorite)","2015","Approved","Sapphirine"," ","Ma C, Krot A N, Nagashima K (2017) Addibischoffite, Ca_2_Al_6_Al_6_O_20_, a new calcium aluminate mineral from the Acefer 214 CH carbonaceous chondrite: A new refractory phase from the solar nebula. American Mineralogist 102, 1556-1560

","triclinic","","Ca Al O"
"Admontite","Admontite","Admontite","MgB6O10·7H2O","MgB6O10·7H2O","MgB_6_O_10_·7H_2_O","MgB_6_O_10_·7H_2_O","MgB<sub>6</sub>O<sub>10</sub>·7H<sub>2</sub>O","MgB<sub>6</sub>O<sub>10</sub>·7H<sub>2</sub>O","Mg B O H","IMA1978-012","","789","Austria","1978","Approved"," "," ","Walenta K (1979) Admontit, ein neues boratmineral aus der gipslägerstiitte schildmauer bei admont in der Steiermark (Österreich), Tschermaks Mineralogische und Petrographische Mitteilungen 26, 69-77

Chemical formula revised:
dal Negro A, Ungaretti L, Basso R (1976) The crystal structure of synthetic hydrated borates: (II) MgO·3B<sub>2</sub>O<sub>3</sub>·7H<sub>2</sub>O, Crystal Structure Communications 5, 433-436","monoclinic","","Mg B O H"
"Adrianite","Adrianite","Adrianite","Ca12(Al4Mg3Si7)O32Cl6","Ca12(Al4Mg3Si7)O32Cl6","Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_","Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_","Ca<sub>12</sub>(Al<sub>4</sub>Mg<sub>3</sub>Si<sub>7</sub>)O<sub>32</sub>Cl<sub>6</sub>","Ca<sub>12</sub>(Al<sub>4</sub>Mg<sub>3</sub>Si<sub>7</sub>)O<sub>32</sub>Cl<sub>6</sub>","Ca Al Mg Si O Cl","IMA2014-028","","6322","Mexico (meteorite)","2014","Approved"," "," ","Ma C, Krot A N (2018) Adrianite, Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_, a new Cl-rich silicate mineral from the Allende meteorite: An alteration phase in a Ca-Al-rich inclusion. American Mineralogist 103, 1329–1334

","cubic","4567.61","Ca Al Mg Si O Cl"
"Aegirine","Aegirine","Aegirine","NaFe3+Si2O6","NaFe3+Si2O6","NaFe^3+^Si_2_O_6_","NaFe^3+^Si_2_O_6_","NaFe<sup>3+</sup>Si<sub>2</sub>O<sub>6</sub>","NaFe<sup>3+</sup>Si<sub>2</sub>O<sub>6</sub>","Na Fe Si O","","R040054 R050074 R061093 R070125 R070253 R120144 R120167","790","Norway","1835","Approved","Pyroxene","pyroxene","Berzelius J (1835) [Untitled note on aegirine], Neues Jahrbuch für Mineralogie, Geognosie, Geologie und Petrefaktenkunde 1835, 184-185","monoclinic","2613","Na Fe^3+ Si O"
"Aegirine-augite","Aegirine-augite","Aegirine-augite","(Ca,Na)(Fe3+,Mg,Fe2+)Si2O6","(Ca,Na)(Fe3+,Mg,Fe2+)Si2O6","(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_","(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_","(Ca,Na)(Fe<sup>3+</sup>,Mg,Fe<sup>2+</sup>)Si<sub>2</sub>O<sub>6</sub>","(Ca,Na)(Fe<sup>3+</sup>,Mg,Fe<sup>2+</sup>)Si<sub>2</sub>O<sub>6</sub>","Ca Na Fe Mg Si O","","","4919","Russia","1892","Approved|Redefined","Pyroxene","pyroxene","Rosenbusch H (1892) Mineralien des monoklinen Krystallsystems. Gruppe der monoklinen Pyroxene, in Mikroskopische Physiographie der Petrographisch Wichtigen Mineralien, E.Schweizerbart'sche Verlagshandlung (E. Koch) (Stuttgart) 510-539

Redefined:
Morimoto N (1988) Nomenclature of pyroxenes, Mineralogical Magazine 52, 535-550","monoclinic","2680","Ca Na Fe^3+ Mg Fe^2+ Si O"
"Aenigmatite","Aenigmatite","Aenigmatite","Na4(Fe2+10Ti4+2)O4[Si12O36]","Na4[Fe2+10Ti2]O4[Si12O36]","Na_4_(Fe^2+^_10_Ti^4+^_2_)O_4_[Si_12_O_36_]","Na_4_[Fe^2+^_10_Ti_2_]O_4_[Si_12_O_36_]","Na<sub>4</sub>(Fe<sup>2+</sup><sub>10</sub>Ti<sup>4+</sup><sub>2</sub>)O<sub>4</sub>[Si<sub>12</sub>O<sub>36</sub>]","Na<sub>4</sub>[Fe<sup>2+</sup><sub>10</sub>Ti<sub>2</sub>]O<sub>4</sub>[Si<sub>12</sub>O<sub>36</sub>]","Na Fe Ti O Si","","R061088 R061089","791","Denmark (Greenland)","1865","Approved","Sapphirine","aenigmatite","Breithaupt A (1865) Mineralogische studien. 29. Kölbingit. Ainigmatit, Berg- und Huttenmannische Zeitung 24, 397-398","triclinic","4567.61","Na Fe^2+ Ti^4+ O Si"
"Aerinite","Aerinite","Aerinite","(Ca,Na)6(Fe3+,Fe2+,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)·12H2O","(Ca,Na)6(Fe3+,Fe2+,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)·12H2O","(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O","(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O","(Ca,Na)<sub>6</sub>(Fe<sup>3+</sup>,Fe<sup>2+</sup>,Mg,Al)<sub>4</sub>(Al,Mg)<sub>6</sub>Si<sub>12</sub>O<sub>36</sub>(OH)<sub>12</sub>(CO<sub>3</sub>)·12H<sub>2</sub>O","(Ca,Na)<sub>6</sub>(Fe<sup>3+</sup>,Fe<sup>2+</sup>,Mg,Al)<sub>4</sub>(Al,Mg)<sub>6</sub>Si<sub>12</sub>O<sub>36</sub>(OH)<sub>12</sub>(CO<sub>3</sub>)·12H<sub>2</sub>O","Ca Na Fe Mg Al Si O H C","","R050610","792","Spain","1876","Approved|Redefined"," "," ","von Lasaulx A (1876) Aërinit, ein neues mineral, Neues Jahrbuch für Mineralogie 1876, 175, 352-358

Re-instated as a valid mineral:
Azambre B, Monchoux P (1988) Précisions minéralogiques sur l'aérinite: nouvelle occurrence à Saint-Pandelon (Landes, France), Bulletin de Minéralogie 111, 39-47 

Chemical formula redefined:
Rius J, Elkaim E, Torrelles X (2004) Structure determination of the blue mineral pigment aerinite from synchrotron powder diffraction data: The solution of an old riddle, European Journal of Mineralogy 16, 127-134

Chemical formula redefined again:
Rius J, Crespi A, Roig A, Melgarejo J C (2009) Crystal-structure refinement of Fe<sup>3+</sup>-rich aerinite from synchrotron powder diffraction and Mössbauer data, European Journal of Mineralogy 21, 233-240 ","hexagonal","287","Ca Na Fe^3+ Fe^2+ Mg Al Si O H C"
"Aeschynite-(Ce)","Aeschynite-(Ce)","Aeschynite-(Ce)","(Ce3+,Ca,Fe2+,Th4+)(Ti4+,Nb5+)2(O,OH)6","(Ce,Ca,Fe,Th)(Ti,Nb)2(O,OH)6","(Ce^3+^,Ca,Fe^2+^,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_","(Ce,Ca,Fe,Th)(Ti,Nb)_2_(O,OH)_6_","(Ce<sup>3+</sup>,Ca,Fe<sup>2+</sup>,Th<sup>4+</sup>)(Ti<sup>4+</sup>,Nb<sup>5+</sup>)<sub>2</sub>(O,OH)<sub>6</sub>","(Ce,Ca,Fe,Th)(Ti,Nb)<sub>2</sub>(O,OH)<sub>6</sub>","Ce Ca Fe Th Ti Nb O H","IMA1987 s.p.","","793","Russia","1830","Approved|Renamed","Aeschynite","aeschynite","Berzelius J (1830) Mineralogie: Aeschynit, Jahres-Bericht über die Fortschritte der Physischen Wissenschaften 9, 182-209

Name changed from aeschynite:
Nickel E H, Mandarino J A (1987) Procedures involving the IMA Commission on New Minerals and Mineral Names and guidelines on mineral nomenclature, American Mineralogist 72, 1031-1042","orthorhombic","1420","Ce^3+ Ca Fe^2+ Th^4+ Ti^4+ Nb^5+ O H"
"Aeschynite-(Nd)","Aeschynite-(Nd)","Aeschynite-(Nd)","(Nd3+,Ln3+,Ca)(Ti4+,Nb5+)2(O,OH)6","(Nd,Ln,Ca)(Ti,Nb)2(O,OH)6","(Nd^3+^,Ln^3+^,Ca)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_","(Nd,Ln,Ca)(Ti,Nb)_2_(O,OH)_6_","(Nd<sup>3+</sup>,Ln<sup>3+</sup>,Ca)(Ti<sup>4+</sup>,Nb<sup>5+</sup>)<sub>2</sub>(O,OH)<sub>6</sub>","(Nd,Ln,Ca)(Ti,Nb)<sub>2</sub>(O,OH)<sub>6</sub>","Nd Ln Ca Ti Nb O H","","","794","China","1982","Approved","Aeschynite","aeschynite","Zhang P, Tao K (1982) Aeschynite-(Nd), Scientia Geologica Sinica 1982, 424-428","orthorhombic","580","Nd^3+ Ln^3+ Ca Ti^4+ Nb^5+ O H"
"Aeschynite-(Y)","Aeschynite-(Y)","Aeschynite-(Y)","(Y3+,Ca,Th4+)(Ti4+,Nb5+)2(O,OH)6","(Y,Ln,Ca,Th)(Ti,Nb)2(O,OH)6","(Y^3+^,Ca,Th^4+^)(Ti^4+^,Nb^5+^)_2_(O,OH)_6_","(Y,Ln,Ca,Th)(Ti,Nb)_2_(O,OH)_6_","(Y<sup>3+</sup>,Ca,Th<sup>4+</sup>)(Ti<sup>4+</sup>,Nb<sup>5+</sup>)<sub>2</sub>(O,OH)<sub>6</sub>","(Y,Ln,Ca,Th)(Ti,Nb)<sub>2</sub>(O,OH)<sub>6</sub>","Y Ln Ca Th Ti Nb O H","IMA1987 s.p.","R060312 R080045","795","Norway","1906","Approved|Renamed","Aeschynite","aeschynite","Originally named priorite:
Brøgger W C (1906) Die mineralien der Südnorwegischen granitpegmatitgänge: Blomstrandin (und priorit), Skrifter udgivne af Videnskabs-Selskabet i Christiania 1906(6), 1-162

Name changed to aeschynite-(Y):
Levinson A A (1966) A system of nomenclature for rare-earth minerals, American Mineralogist 51, 152-158","orthorhombic|amorphous","2000","Y^3+ Ca Th^4+ Ti^4+ Nb^5+ O H"
"Afghanite","Afghanite","Afghanite","Na22Ca10(Si24Al24)O96(S6+O4)6Cl6","(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6","Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_","(Na,K)_22_Ca_10_(Si_24_Al_24_)O_96_(SO_4_)_6_Cl_6_","Na<sub>22</sub>Ca<sub>10</sub>(Si<sub>24</sub>Al<sub>24</sub>)O<sub>96</sub>(S<sup>6+</sup>O<sub>4</sub>)<sub>6</sub>Cl<sub>6</sub>","(Na,K)<sub>22</sub>Ca<sub>10</sub>(Si<sub>24</sub>Al<sub>24</sub>)O<sub>96</sub>(SO<sub>4</sub>)<sub>6</sub>Cl<sub>6</sub>","Na K Ca Si Al O S Cl","IMA1967-041","R060422 R070558","796","Afghanistan","1967","Approved","Cancrinite-sodalite","cancrinite-sodalite","Bariand P, Cesbron F, Giraud R (1968) Une nonvelle espece minerale: L’afghanite de Sar–e–Sang, Badakhshan, Afghanistan–Comparaison avec les mineraux du groupe de la cancrinite, Bulletin de la Société Française de Minéralogie et de Cristallographie 91, 34-42

Chemical formula revised:
Ballirano P, Bonaccorsi E, Maras A, Merlino S (1997) Crystal structure of afghanite, the eight-layer member of the cancrinite-group: evidence for long-range Si,Al ordering, European Journal of Mineralogy 9, 21-30","hexagonal","1600","Na Ca Si Al O S^6+ Cl"
"Afmite","Afmite","Afmite","Al3(OH)4(H2O)3(PO4)(PO3OH)·H2O","Al3(OH)4(H2O)3(PO4)(PO3OH)·H2O","Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O","Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O","Al<sub>3</sub>(OH)<sub>4</sub>(H<sub>2</sub>O)<sub>3</sub>(PO<sub>4</sub>)(PO<sub>3</sub>OH)·H<sub>2</sub>O","Al<sub>3</sub>(OH)<sub>4</sub>(H<sub>2</sub>O)<sub>3</sub>(PO<sub>4</sub>)(PO<sub>3</sub>OH)·H<sub>2</sub>O","Al O H P","IMA2005-025a","R130082","5844","France","2005","Approved"," "," ","Kampf A R, Mills S J, Rossman G R, Steele I M, Pluth J J, Favreau G (2011) Afmite, Al<sub>3</sub>(OH)<sub>4</sub>(H<sub>2</sub>O)<sub>3</sub>(PO<sub>4</sub>)(PO<sub>3</sub>OH)·H<sub>2</sub>O, a new mineral from Fumade, Tarn, France: description and crystal structure, European Journal of Mineralogy 23, 269-277","triclinic","975.3","Al O H P"
