COD_ID,SMI,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,cellpressure,sigcellpressure,diffrpressure,sigdiffrpressure,thermalhist,pressurehist,compoundsource,nel,sg,sgHall,commonname,chemname,formula,calcformula,cellformula,Z,Zprime,acce_code,authors,title,journal,year,volume,issue,firstpage,lastpage,doi,method,radiation,wavelength,radType,radSymbol,Rall,Robs,Rref,wRall,wRobs,wRref,RFsqd,RI,gofall,gofobs,gofgt,gofref,duplicateof,optimal,status,flags,svnrevision,date,time,onhold,Mineral Name,IMA Chemistry (plain),IMA Chemistry (concise),Chemistry Elements,IMA Number,IMA Status,Structural Groupname,Crystal Systems,Oldest Known Age (Ma),Valence Elements
9014753,[Ru+4].[S-2].[S-2],6.636,,6.636,,6.636,,90.0,,90.0,,90.0,,292.226,,,,,,,,,,,,,2.0,P a -3,-P 2ac 2ab 3,,,- Ru S2 -,- Ru4 S8 -,- Ru4 S8 -,,,,"Oftedal, I.","Uber die Kristallstrukturen der verbindungen RuS2, OsS2, MnTe2 und AuSb2. Mit einem Anhang uber die Gitterkonstant von Pyrit",Zeitschrift fur Physikalische Chemie,1928.0,135.0,,291,299,,,,,,,,,,,,,,,,,,,,,,has coordinates,201816.0,2020-10-21,18:00:00,,Aurostibite,AuSb2,AuSb_2_,Au Sb,,Grandfathered|Approved,Pyrite,cubic,4000.0,Au Sb
1010927,[Tl+3].[Tl+3].[O-2].[O-2].[O-2],10.57,,10.57,,10.57,,90.0,,90.0,,90.0,,1180.9,,,,,,,,,,,,,2.0,I 21 3,I 2b 2c 3,,Thallium(III) oxide,- O3 Tl2 -,- O3 Tl2 -,- O48 Tl32 -,16.0,0.666667,,"Zachariasen, W","The crystal structure of the modification C of the sesquioxides of the rare earth metals, and of indium and thallium.",Norsk Geologisk Tidsskrift,1927.0,9.0,,310,316,,,,,,,,,,,,,,,,,,,,,,has coordinates,202026.0,2020-10-21,18:00:00,,Avicennite,Tl2O3,Tl_2_O_3_,Tl O,,Grandfathered|Approved,Bixbyite,cubic,220.0,Tl^3+ O
9013941,[Ni].[Ni].[Ni].[Fe],3.545,,3.545,,3.545,,90.0,,90.0,,90.0,,44.55,,,,,,,,,,,,,2.0,P m -3 m,-P 4 2 3,,,- Fe Ni3 -,- Fe Ni3 -,- Fe Ni3 -,,,,"Ahmed, Z.; Bevan, J. C.","Awaruite, iridian awaruite, and a new Ru-Os-Ir-Ni-Fe alloy from the Sakhakot-Qila complex, Malakand-Agency, Pakistan Locality: Sakhakot-Qila complex, Malakand-Agency, Pakistan",Mineralogical Magazine,1981.0,44.0,,225,230,10.1180/minmag.1981.044.334.17,,,,,,,,,,,,,,,,,,,,,has coordinates,120115.0,2020-10-21,18:00:00,,Awaruite,Ni3Fe,Ni_3_Fe,Ni Fe,,Grandfathered|Approved,Auricupride,cubic,4620.0,Ni Fe
1010912,[Zr+4].[O-2].[O-2],5.21,,5.26,,5.37,,90.0,,80.53,,90.0,,145.2,,,,,,,,,,,,,2.0,P 1 21/c 1,-P 2ybc,,Zirconium oxide,- O2 Zr -,- O2 Zr -,- O8 Zr4 -,4.0,1.0,,"Naray-Szabo, S",Zur Struktur des Baddeleyits Zr O2,"Zeitschrift fuer Kristallographie, Kristallgeometrie, Kristallphysik, Kristallchemie (-144,1977)",1936.0,94.0,,414,416,,,,,,,,,,,,,,,,,,,,,,has coordinates,202026.0,2020-10-21,18:00:00,,Baddeleyite,ZrO2,ZrO_2_,Zr O,,Grandfathered|Approved,Baddeleyite,monoclinic|orthorhombic,4567.61,Zr^4+ O
1000037,[Ba+2].S(=O)(=O)([O-])[O-],8.884,0.004,5.457999999999999,0.003,7.153,0.003,90.0,,90.0,,90.0,,346.8,,,,,,,,,,,,"from Cow Green Mine, Teesdale, Durham, England",3.0,P n m a,-P 2ac 2n,,Barium sulfate,- Ba O4 S -,- Ba O4 S -,- Ba4 O16 S4 -,4.0,0.5,,"Colville, A A; Staudhammer, K",A Refinement of the Structure of Barite,American Mineralogist,1967.0,52.0,,1877,1880,,,,,,,0.051,,,,,,,,,,,,,,,has coordinates,202022.0,2020-10-21,18:00:00,,Baryte,Ba(SO4),Ba(SO_4_),Ba S O,,Approved,Baryte,orthorhombic,4567.61,Ba S^6+ O
1010918,[Ca+2].S(=O)(=O)([O-])[O-].O,6.86,,6.86,,12.7,,90.0,,90.0,,120.0,,517.6,,,,,,,,,,,,,4.0,P 32 2 1 S,,,Calcium sulfate hemihydrate,- Ca H O4.5 S -,- Ca H O4.5 S -,- Ca6 H6 O27 S6 -,6.0,,,"Gallitelli, P",Ricerche sul solfato di calcio semidrato e sull'anidrite solubile,Periodico di Mineralogia,1933.0,4.0,,132,171,,,,,,,,,,,,,,,,,,,,,,has coordinates,200452.0,2020-10-21,18:00:00,,Bassanite,Ca(SO4)·0.5H2O,Ca(SO_4_)·0.5H_2_O,Ca S O H,,Grandfathered|Approved,Rhabdophane,monoclinic|hexagonal,1180.0,Ca S^6+ O H
9005521,[Ca][OH2].[Ca+2].S(=O)(=O)([O-])[O-].S(=O)(=O)([O-])[O-],12.035,,6.9294,,12.6705,,90.0,,90.266,,90.0,,1056.65,,,,,,,,,,,,,4.0,I 1 2 1,I 2y,,,- Ca H O4.5 S -,- Ca O4.5 S -,- Ca12 O54 S12 -,12.0,3.0,,"Ballirano, P.; Maras, A.; Meloni, S.; Caminiti, R.","The monoclinic I2 structure of bassanite, calcium sulphate hemihydrate",European Journal of Mineralogy,2001.0,13.0,,985,993.0,10.1127/0935-1221/2001/0013/0985,,,,,,,,,,,,,,,,,,,,,has coordinates,200438.0,2020-10-21,18:00:00,,Bassanite,Ca(SO4)·0.5H2O,Ca(SO_4_)·0.5H_2_O,Ca S O H,,Grandfathered|Approved,Rhabdophane,monoclinic|hexagonal,1180.0,Ca S^6+ O H
9014173,[U]([OH2])([OH2])([OH2])[OH2].S(=O)(=O)([O-])[O-].S(=O)(=O)([O-])[O-],14.6464,,11.0786,,5.691,,90.0,,90.0,,90.0,,923.431,,,,,,,,,,,,"Jachymov, Czech Republic",4.0,P n m a,-P 2ac 2n,,,- H8 O12 S2 U -,- H8 O12 S2 U -,- H32 O48 S8 U4 -,4.0,0.5,,"Plasil, J.; Fejfarova, K.; Novak, M.; Dusek, M.; Skoda, R.; Hlousek, J.; Cejka, J.; Majzlan, J.; Sejkora, J.; Machovic, V.; Talla, D.","Behounekite, U(SO4)2(H2O)4, From Jachymov (St Joachimsthal), Czech Republic: the first natural U4+ sulphate",Mineralogical Magazine,2011.0,75.0,,2739,2753,10.1180/minmag.2011.075.6.2739,,,,,,,,,,,,,,,,,,,,,has coordinates,201816.0,2020-10-21,18:00:00,,Běhounekite,U(SO4)2(H2O)4,U(SO_4_)_2_(H_2_O)_4_,U S O H,IMA2010-046,Approved, ,orthorhombic,0.0,U^4+ S^6+ O H
1011330,[Sn+4].[S-2].[S-2],3.62,,3.62,,5.85,,90.0,,90.0,,120.0,,66.4,,,,,,,,,,,,,2.0,P -3 m 1,"-P 3 2""",,Tin(IV) sulfide,- S2 Sn -,- S2 Sn -,- S2 Sn -,1.0,0.08333330000000001,,"Oftedal, I",Die Kristallstruktur von Sn S2,Norsk Geologisk Tidsskrift,1926.0,9.0,,225,233,,,,,,,,,,,,,,,,,,,,,,has coordinates,130149.0,2020-10-21,18:00:00,,Berndtite,SnS2,SnS_2_,Sn S,IMA1968 s.p.,Approved|Renamed,Melonite,hexagonal,297.1,Sn S
9014480,[Zn]([OH2])([OH2])([OH2])([OH2])([OH2])[OH2].S(=O)(=O)([O-])[O-],9.981,,7.25,,24.28,,90.0,,98.45,,90.0,,1737.88,,,,,,,,,,,,"synthetic, made by dehydration of ZnSO4*7H2O",4.0,C 1 2/c 1,-C 2yc,,,- H12 O10 S Zn -,- O10 S Zn -,- O80 S8 Zn8 -,8.0,1.0,,"Spiess, M.; Gruehn, R.",Zur thermischen Dehydratisierung des ZnSO4*7H2O und zum Hochtemperaturverhalten von wasserfreiem ZnSO4,Zeitschrift fur Anorganische und Allgemeine Chemie,1979.0,456.0,,222,240,10.1002/zaac.19794560124,,,,,,,,,,,,,,,,,,,,,has coordinates,201816.0,2020-10-21,18:00:00,,Bianchite,Zn(SO4)·6H2O,Zn(SO_4_)·6H_2_O,Zn S O H,,Grandfathered|Approved,Hexahydrite,monoclinic,1180.0,Zn^2+ S^6+ O H
9013650,[Mn+4].[O-2].[O-2].O.O,5.1342,,2.8469,,7.4815,,90.31,,101.559,,89.944,,107.134,,,,,,,,,,,,,3.0,C -1,"-P 1 (1/2*x+1/2*y,1/2*x-1/2*y,-z)",,,- H4.108 Mn O4.054 -,- Mn2 O4 Oi4.108 -,- Mn2 O4 Oi4.108 -,,,,"Lopano, C. L.; Heaney, P. J.; Post, J. E.","Cs-exchange in birnessite: Reaction mechanisms inferred from time-resolved X-ray diffraction and transmission electron microscopy Note: Solution concentration 0.001 M Note: Occupancies of the Oint sites are undetermined, O is used only as a scatterer",American Mineralogist,2009.0,94.0,,816,826,10.2138/am.2009.3068,,,,,,,,,,,,,,,,,,,,,has coordinates,120115.0,2020-10-21,18:00:00,,Birnessite,"(Na,Ca,K)0.6(Mn4+,Mn3+)2O4·1.5H2O","(Na,Ca,K)_0.6_(Mn^4+^,Mn^3+^)_2_O_4_·1.5H_2_O",Na Ca K Mn O H,,Grandfathered|Approved, ,triclinic|monoclinic,2500.0,Na Ca K Mn^4+ Mn^3+ O H
1010004,[Bi+3].[Bi+3].[O-2].[O-2].[O-2],5.83,,8.14,,7.48,,90.0,,67.07,,90.0,,326.9,,,,,,,,,,,,,2.0,P 1 21/c 1,-P 2ybc,,Bismuth oxide - α,- Bi2 O3 -,- Bi2 O3 -,- Bi8 O12 -,4.0,1.0,,"Sillén, Lars Gunnar",Die Kristallstruktur des monoklinen α-Bi~2~O~3~,Naturwissenschaften,1940.0,28.0,13,206,207,10.1007/BF01498757,,,,,,,,,,,,,,,,,,,,,has coordinates,205499.0,2020-10-21,18:00:00,,Bismite,Bi2O3,Bi_2_O_3_,Bi O,,Grandfathered|Approved, ,monoclinic,3026.0,Bi O
5000215,[Bi],4.535,0.002,4.535,0.002,11.814,0.006,90.0,,90.0,,120.0,,210.4,,,,,,,,,,,,,1.0,R -3 m :H,"-R 3 2""",Bismuth,Bismuth,- Bi -,- Bi -,- Bi6 -,6.0,0.166667,,"Cucka, P.; Barrett, C. S.","The Crystal Structure of Bi and of solid solutions of Pb, Sn, Sb and Te in Bi",Acta Crystallographica,1962.0,15.0,9,865,872,10.1107/S0365110X62002297,,,,,,0.0278,,,,,,,,,,,,,,,has coordinates,202022.0,2020-10-21,18:00:00,,Bismuth,Bi,Bi,Bi,,Grandfathered|Approved,Arsenic,hexagonal|rhombohedral,4000.0,Bi
1010801,[Bi+3].[Bi+3].[S-2].[S-2].[S-2],11.13,,11.27,,3.97,,90.0,,90.0,,90.0,,498.0,,,,,,,,,,,,"from Tazna, Bolivia, Collection of the Museum of Paris",2.0,,,,Bismuth sulfide,- Bi2 S3 -,,,,,,"Garrido, J; Feo, R",Sur les sulfotellurures de bismuth,"Bulletin de la Societe Francaise de Mineralogie (-71,1948)",1938.0,61.0,,196,204,,,,,,,,,,,,,,,,,,,,,,,77586.0,2020-10-21,18:00:00,,Bismuthinite,Bi2S3,Bi_2_S_3_,Bi S,,Grandfathered|Approved,Stibnite,orthorhombic,4000.0,Bi^3+ S^2-
9004734,[V]1(=O)([OH2])([OH2])([OH2])OS(=O)(=O)O[V](=O)([OH2])([OH2])([OH2])OS(=O)(=O)O1,7.394,,7.4111,,12.0597,,90.0,,106.55,,90.0,,633.466,,,,,,,,,,,,,4.0,P 1 21/n 1,-P 2yn,,,- H12 O16 S2 V2 -,- H12 O16 S2 V2 -,- H24 O32 S4 V4 -,2.0,0.5,,"Schindler, M.; Hawthorne, F. C.; Huminicki, D. M. C.; Haynes, P.; Grice, J. D.; Evans, H. T.","Bobjonesite, VO(SO4)(H2O)3, a new mineral species from Temple Mountain, Emery County, Utah, U.S.A. Locality: Temple Mountain, Emery County, Utah, USA",The Canadian Mineralogist,2003.0,41.0,,83,90.0,10.2113/gscanmin.41.1.83,,,,,,,,,,,,,,,,,,,,,has coordinates,200438.0,2020-10-21,18:00:00,,Bobjonesite,V4+O(SO4)·3H2O,V^4+^O(SO_4_)·3H_2_O,V O S H,IMA2000-045,Approved, ,monoclinic,117.0,V^4+ O S^6+ H
9007501,[Cu]([OH2])([OH2])[OH2].S(=O)(=O)([O-])[O-],5.5920000000000005,,13.029000000000002,,7.341,,90.0,,97.05,,90.0,,530.808,,,,,,,,,,,,,4.0,C 1 c 1,C -2yc,,,- Cu H6 O7 S -,- Cu H6 O7 S -,- Cu4 H24 O28 S4 -,4.0,1.0,,"Zahrobsky, R. F.; Baur, W. H.",On the crystal chemistry of salt hydrates. V. The determination of the crystal structure of CuSO4*3H2O (bonattite) Locality: synthetic,"Acta Crystallographica, Section B",1968.0,24.0,,508,513.0,10.1107/S0567740868002748,,,,,,,,,,,,,,,,,,,,,has coordinates,200438.0,2020-10-21,18:00:00,,Bonattite,Cu(SO4)·3H2O,Cu(SO_4_)·3H_2_O,Cu S O H,,Grandfathered|Approved, ,monoclinic,408.0,Cu^2+ S^6+ O H
9007492,[Rh+3].[Rh+3].[S-2].[S-2].[S-2],8.462,,5.985,,6.138,,90.0,,90.0,,90.0,,310.85900000000004,,,,,,,,,,,,,2.0,P b c n,-P 2n 2ab,,,- Rh2 S3 -,- Rh8 S12 -,- Rh8 S12 -,,,,"Parthe, E.; Hohnke, D.; Hulliger, F.","A new structure type with octahedron pairs for Rh2S3,Rh2Se3 and Ir2S3 Locality: synthetic",Acta Crystallographica,1967.0,23.0,,832,840.0,10.1107/S0365110X67003767,,,,,,,,,,,,,,,,,,,,,has coordinates,120115.0,2020-10-21,18:00:00,,Bowieite,Rh2S3,Rh_2_S_3_,Rh S,IMA1980-022,Approved,Bowieite,orthorhombic,2058.0,Rh^3+ S^2-
9007442,[Cr+3].[Cr+3].[Cr+2].[S-2].[S-2].[S-2].[S-2],5.694,,3.428,,11.272,,90.0,,91.5,,90.0,,219.94299999999998,,,,,,,,,,,,,2.0,I 1 2/m 1,-I 2y,,,- Cr3 S4 -,- Cr6 S8 -,- Cr6 S8 -,,,,"Jellinek, F.",The structures of the chromium sulphides Locality: synthetic,Acta Crystallographica,1957.0,10.0,,620,628.0,10.1107/S0365110X57002200,,,,,,,,,,,,,,,,,,,,,has coordinates,120115.0,2020-10-21,18:00:00,,Brezinaite,Cr3S4,Cr_3_S_4_,Cr S,IMA1969-004,Approved, ,monoclinic,,Cr^2+ Cr^3+ S^2-
9005583,[Cu+2].[Cu+2].[Cu+2].[Cu+2].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].S(=O)(=O)([O-])[O-],13.14,,9.863,,6.024,,90.0,,103.16,,90.0,,760.206,,,,,,,,,,,,,4.0,P 1 21/a 1,-P 2yab,,,- Cu4 H6 O10 S -,- Cu4 O10 S -,- Cu16 O40 S4 -,4.0,1.0,,"Merlino, S.; Perchiazzi, N.; Franco, D.","Brochantite, Cu4SO4(OH)6: OD character, polytypism and crystal structures Sample: MDO_1 polytype",European Journal of Mineralogy,2003.0,15.0,,267,275.0,10.1127/0935-1221/2003/0015-0267,,,,,,,,,,,,,,,,,,,,,has coordinates,200438.0,2020-10-21,18:00:00,,Brochantite,Cu4(SO4)(OH)6,Cu_4_(SO_4_)(OH)_6_,Cu S O H,,Approved,Brochantite,monoclinic,4000.0,Cu^2+ S^6+ O H
9002348,[Mg+2].[OH-].[OH-],3.1264,,3.1264,,4.7315,,90.0,,90.0,,120.0,,40.051,,,,,,,,600000.0,,,,,3.0,P -3 m 1,"-P 3 2""",,,- Mg H2 O2 -,- Mg O2 -,- Mg O2 -,,,,"Nagai, T.; Hattori, T.; Yamanaka, T.",Compression mechanism of brucite: An investigation by the structural refinement under pressure Sample: P = .6 GPa,American Mineralogist,2000.0,85.0,,760,764.0,,,,,,,,,,,,,,,,,,,,,,has coordinates,202019.0,2020-10-21,18:00:00,,Brucite,Mg(OH)2,Mg(OH)_2_,Mg O H,,Grandfathered|Approved,Brucite,hexagonal,2742.0,Mg O H
9000225,[Fe]1([OH2])([OH2])OS(=O)(=O)O[Fe]([OH2])([OH2])([OH]1)(O)OS(=O)(=O)[O-],6.5,,7.37,,5.84,,90.0,,108.38,,90.0,,265.493,,,,,,,,,,,,,4.0,P 1 21/m 1,-P 2yb,,,- Fe H3 O7 S -,- Fe O7 S -,- Fe2 O14 S2 -,2.0,0.5,,"Fanfani, L.; Nunzi, A.; Zanazzi, P. F.",The crystal structure of butlerite,American Mineralogist,1971.0,56.0,,751,757.0,,,,,,,,,,,,,,,,,,,,,,has coordinates,200438.0,2020-10-21,18:00:00,,Butlerite,Fe3+(SO4)(OH)·2H2O,Fe^3+^(SO_4_)(OH)·2H_2_O,Fe S O H,,Grandfathered|Approved, ,monoclinic,2500.0,Fe^3+ S^6+ O H
9008490,[Cd],2.97887,,2.97887,,5.61765,,90.0,,90.0,,120.0,,43.17100000000001,,,,,,,,,,,,,1.0,P 63/m m c,-P 6c 2c,,,- Cd -,- Cd2 -,- Cd2 -,,,,"Wyckoff, R. W. G.","Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure",Crystal Structures,1963.0,1.0,,7,83,,,,,,,,,,,,,,,,,,,,,,has coordinates,202022.0,2020-10-21,18:00:00,,Cadmium,Cd,Cd,Cd,IMA1980-086,Approved, ,hexagonal,173.8,Cd
1010928,[Ca+2].C(=O)([O-])[O-],6.36,,6.36,,6.36,,46.1,,46.1,,46.1,,121.9,,,,,,,,,,,,,3.0,R -3 c RS,-P 3* 2n,,Calcium carbonate,- C Ca O3 -,- C Ca O3 -,- C2 Ca2 O6 -,2.0,,,"Elliott, N",A Redetermination of the Carbon - Oxygen Distance in Calcite and the Nitrogen - Oxygen Distance in Sodium Nitrate,Journal of the American Chemical Society,1937.0,59.0,,1380,1382,10.1021/ja01286a065,,,,,,,,,,,,,,,,,,,,,has coordinates,205139.0,2020-10-21,18:00:00,,Calcite,Ca(CO3),Ca(CO_3_),Ca C O,,Grandfathered|Approved,Calcite,hexagonal,4700.0,Ca C O
